שם החומר (עברית),Chemical Name (English),נוסחה כימית,מספר CAS,נקודת הבזק (°C),נקודת רתיחה (°C),LEL (%),UEL (%),טמפרטורת התלקחות עצמית (°C),לחץ אדים (mmHg @ 20°C),צפיפות יחסית (מים=1),צפיפות אדים (אוויר=1),מסיסות במים,pH (אם רלוונטי),קבוצת NFPA 400 ראשית,תת-קבוצה NFPA 400,קבוצות NFPA 400 נוספות,סיווג NFPA 30,Class NFPA 30,LC50 (ppm),LD50 (mg/kg),רמת סיכון בריאות NFPA,רמת דליקות NFPA,רמת תגובתיות NFPA,סיכונים מיוחדים NFPA,UN Number,Class DOT,Packing Group,הערות,"MAQ אחסון - מערכת סגורה (ק""ג/ליטר)","MAQ אחסון - מערכת פתוחה (ק""ג/ליטר)","MAQ שימוש - מערכת סגורה (ק""ג/ליטר)","MAQ שימוש - מערכת פתוחה (ק""ג/ליטר)","MAQ גז - אחסון (מ""ק)","MAQ גז - שימוש (מ""ק)",Protection Level,הערות MAQ,יחידות MAQ
כלור,Chlorine,Cl₂,7782-50-5,גז,-34,,,,4800,1.56,2.49,מסיס מעט,,גזים רעילים,,מחמצנים (גז),לא רלוונטי,,293,,3,0,0,OX COR,1017,2.3,,מחמצן+רעיל,227,227,4.5,4.5,113.5,113.5,3,Toxic Material,"מ""ק"
פרופאן,Propane,C₃H₈,74-98-6,גז,-42,2.1,9.5,450,לא רלוונטי,0.58,1.56,לא מסיס,,גזים דליקים,,,לא רלוונטי,,,,1,4,0,,1075,2.1,,LPG,,,,,8.5,,2,LP Gas (300 lb),"מ""ק"
מימן פרוקסיד 35%,Hydrogen Peroxide 35%,H₂O₂,7722-84-1,לא דליק,108,,,,5,1.13,,מסיס,4.5,חומרים מחמצנים,Class 2,,לא רלוונטי,,2000,500,2,0,1,OX,2015,5.1,II,מחמצן חזק,,,,,,,,,
אצטילן,Acetylene,C₂H₂,74-86-2,גז,גז,2.5,100,305,לא רלוונטי,0.91,0.91,מסיס מעט,,גזים דליקים,,חומרים לא יציבים Class 3,לא רלוונטי,,,,1,4,3,,1001,2.1,,לא יציב בלחץ,,,,,28.3,,2,Flammable Gas,"מ""ק"
נתרן מתכתי,Sodium Metal,Na,7440-23-5,לא דליק,883,,,,לא רלוונטי,0.97,,מגיב אלים,,חומרים רגישים למים,Class 3,חומרים פירוטכניים,לא רלוונטי,,,,3,1,3,W,1428,4.3,I,מתלקח במגע מים,45.4,45.4,4.5,4.5,22.7,22.7,2,Reacts explosively,"מ""ק"
THF (טטרהידרופוראן),Tetrahydrofuran,C₄H₈O,109-99-9,-14,66,1.8,11.8,321,143,0.89,2.5,מסיס,,נוזלים דליקים,Class IB,פרוקסידים אורגניים,נוזל דליק,Class IB,,,2,3,1,,2056,3,II,יוצר פרוקסידים,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
דיכלורומתאן (DCM),Dichloromethane,CH₂Cl₂,75-09-2,לא דליק,40,,,,349,1.33,2.93,לא מסיס,,לא דליק,,,לא רלוונטי,,88000,,2,0,0,,1593,6.1,III,ממס מכלור,,,,,,,,,
כלורופורם,Chloroform,CHCl₃,67-66-3,לא דליק,61,,,,160,1.48,4.12,לא מסיס,,לא דליק,,,לא רלוונטי,,47702,908,2,0,0,,1888,6.1,III,"ממס, הרדמה",,,,,,,,,
פחמן דו-גופרתי,Carbon Disulfide,CS₂,75-15-0,-30,46,1.0,50,90,297,1.26,2.64,לא מסיס,,נוזלים דליקים,Class IB,חומרים רעילים,נוזל דליק,Class IB,,,2,4,0,,1131,3,I,רעיל ודליק מאוד,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
ציקלוהקסאן,Cyclohexane,C₆H₁₂,110-82-7,-20,81,1.3,8.4,245,77,0.78,2.9,לא מסיס,,נוזלים דליקים,Class IB,,נוזל דליק,Class IB,,,1,3,0,,1145,3,II,ממס,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
n-הפטאן,n-Heptane,C₇H₁₆,142-82-5,-4,98,1.05,6.7,204,40,0.68,3.5,לא מסיס,,נוזלים דליקים,Class IB,,נוזל דליק,Class IB,,,1,3,0,,1206,3,II,"ממס, דלק",454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
הליום נוזלי,Liquid Helium,He,7440-59-7,לא דליק,-269,,,,לא רלוונטי,0.125,0.14,לא מסיס,,גזים קריוגניים אינרטיים,,,לא רלוונטי,,,,0,0,0,CRYO,1963,2.2,,טמפ׳ נמוכה ביותר,,ללא הגבלה,,ללא הגבלה,,ללא הגבלה,N/A,Cryogenic Inert - No Limit,
אתאן נוזלי (LNG),Liquid Ethane,C₂H₆,74-84-0,גז,-89,3.0,12.4,472,לא רלוונטי,0.57,1.05,לא מסיס,,גזים דליקים קריוגניים,,גזים דליקים,לא רלוונטי,,,,1,4,0,CRYO,1961,2.1,,קריוגני דליק,,,,,28.3,,2,Flammable Gas,"מ""ק"
חומצה פוספורית 85%,Phosphoric Acid 85%,H₃PO₄,7664-38-2,לא דליק,158,,,,<1,1.69,,מסיס,<1,חומרים קורוזיביים,,,לא רלוונטי,,,,3,0,0,,1805,8,III,קורוזיבי,454,454,113.5,113.5,227,227,N/A,Corrosive Material,"מ""ק"
חומצה אצטית קרחונית,Glacial Acetic Acid,CH₃COOH,64-19-7,39,118,4.0,19.9,427,11,1.05,2.07,מסיס,2.4,נוזלים בעירים,Class II,חומרים קורוזיביים,נוזל בעיר,Class II,,,3,2,0,COR,2789,8,II,קורוזיבי+בעיר,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
n-בוטנול,n-Butanol,C₄H₉OH,71-36-3,29,118,1.4,11.2,343,5,0.81,2.55,מסיס מעט,,נוזלים בעירים,Class IC,,נוזל דליק,Class IC,,,1,3,0,,1120,3,III,ממס,454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
אתילן גליקול,Ethylene Glycol,C₂H₆O₂,107-21-1,111,197,3.2,15.3,398,<1,1.11,2.14,מסיס,,נוזלים בעירים,Class IIIA,,נוזל בעיר,Class IIIA,,4700,1,1,0,,לא רלוונטי,,,אנטי-פריז,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
טריכלורואתילן (TCE),Trichloroethylene,C₂HCl₃,79-01-6,לא דליק,87,,,,58,1.46,4.53,לא מסיס,,לא דליק,,,לא רלוונטי,,12500,,2,0,0,,1710,6.1,III,ממס מכלור,,,,,,,,,
פרכלורואתילן (PERC),Perchloroethylene,C₂Cl₄,127-18-4,לא דליק,121,,,,14,1.62,5.76,לא מסיס,,לא דליק,,,לא רלוונטי,,,,0,0,0,,1897,6.1,III,ניקוי יבש,,,,,,,,,
חנקתי נתרן,Sodium Nitrate,NaNO₃,7631-99-4,לא דליק,380,,,,לא רלוונטי,2.26,,מסיס,,חומרים מחמצנים,Class 2,,לא רלוונטי,,,,1,0,1,OX,1498,5.1,III,מחמצן,,,,,,,,,
כלורי נתרן (אקונומיקה),Sodium Hypochlorite,NaClO,7681-52-9,לא דליק,מתפרק,,,,לא רלוונטי,2.15,,מסיס,13,חומרים מחמצנים,Class 1,חומרים קורוזיביים,לא רלוונטי,,,,2,0,1,OX COR,1791,8,II,חיטוי מים,,,,,,,,,
בוטיל אצטט,Butyl Acetate,C₆H₁₂O₂,123-86-4,22,126,1.7,7.6,370,10,0.88,4.0,לא מסיס,,נוזלים דליקים,Class IC,,נוזל דליק,Class IC,,,1,3,0,,1123,3,II,ממס,454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
MIBK (מתיל איזובוטיל קטון),Methyl Isobutyl Ketone,C₆H₁₂O,108-10-1,14,116,1.2,8.0,449,16,0.80,3.5,לא מסיס,,נוזלים דליקים,Class IC,,נוזל דליק,Class IC,,,1,3,0,,2053,3,II,ממס,454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
TNT (טרי-ניטרו טולואן),Trinitrotoluene,C₇H₅N₃O₆,118-96-7,מוצק,240,,,,נמוך,1.65,,לא מסיס,,חומרי נפץ,Division 1.1D,,לא רלוונטי,,,,2,4,4,,0209,1.1D,,חומר נפץ,,,,,,,,,
חנקתי אמוניום,Ammonium Nitrate,NH₄NO₃,6484-52-2,מוצק,210,,,,נמוך,1.72,,מסיס,,חומרים מחמצנים,Class 1,חומרי נפץ Class 2,לא רלוונטי,,,,1,0,3,OX,1942,5.1,III,דשן+נפץ,,,,,,,,,
אתיל בנזן,Ethylbenzene,C₈H₁₀,100-41-4,15,136,0.8,6.7,432,7,0.87,3.66,לא מסיס,,נוזלים דליקים,Class IC,,נוזל דליק,Class IC,4000,,2,3,0,,1175,3,II,ייצור סטירן,454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
קומן (איזופרופיל בנזן),Cumene,C₉H₁₂,98-82-8,36,152,0.9,6.5,424,3.2,0.86,4.14,לא מסיס,,נוזלים בעירים,Class IC,,נוזל דליק,Class IC,,,1,3,0,,1918,3,III,ייצור פנול,454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
"מזיטילן (1,3,5-טרימתיל בנזן)",Mesitylene,C₉H₁₂,108-67-8,44,165,1.1,5.0,559,2,0.86,4.14,לא מסיס,,נוזלים בעירים,Class IIIA,,נוזל בעיר,Class IIIA,,,1,2,0,,2325,3,III,ממס,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
n-פנטאן,n-Pentane,C₅H₁₂,109-66-0,-49,36,1.4,7.8,260,420,0.63,2.49,לא מסיס,,נוזלים דליקים,Class IA,,נוזל דליק,Class IA,,,1,4,0,,1265,3,I,"ממס, דלק",113.6,113.6,,,,,3,Flammable Liquid IA,ליטר
n-אוקטאן,n-Octane,C₈H₁₈,111-65-9,13,126,1.0,6.5,206,10,0.70,3.94,לא מסיס,,נוזלים דליקים,Class IC,,נוזל דליק,Class IC,,,1,3,0,,1262,3,II,"ממס, דלק",454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
n-דקאן,n-Decane,C₁₀H₂₂,124-18-5,46,174,0.8,5.4,210,1,0.73,4.9,לא מסיס,,נוזלים בעירים,Class IIIA,,נוזל בעיר,Class IIIA,,,1,2,0,,2247,3,III,ממס,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
איזו-פרופנול (IPA),Isopropyl Alcohol,C₃H₈O,67-63-0,12,82,2.0,12.7,399,33,0.78,2.07,מסיס,,נוזלים דליקים,Class IB,,נוזל דליק,Class IB,,5045,1,3,0,,1219,3,II,"חיטוי, ממס",454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
tert-בוטנול,tert-Butanol,C₄H₁₀O,75-65-0,11,83,2.4,8.0,478,31,0.78,2.55,מסיס,,נוזלים דליקים,Class IB,,נוזל דליק,Class IB,,,1,3,0,,1120,3,II,ממס,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
פרופילן גליקול,Propylene Glycol,C₃H₈O₂,57-55-6,99,188,2.6,12.6,371,<1,1.04,2.62,מסיס,,נוזלים בעירים,Class II,,נוזל בעיר,Class II,,,1,1,0,,לא רלוונטי,,,"אנטי-פריז, מזון",454.2,454.2,,,,,3,Combustible Liquid II,ליטר
גליקול אתרים - 2-butoxyethanol,2-Butoxyethanol,C₆H₁₄O₂,111-76-2,62,171,1.1,12.7,238,0.6,0.90,4.1,מסיס,,נוזלים בעירים,Class IIIA,,נוזל בעיר,Class IIIA,,,2,2,0,,2369,6.1,III,"ממס, ניקוי",454.2,454.2,,,,,3,Combustible Liquid II,ליטר
ציקלוהקסאנון,Cyclohexanone,C₆H₁₀O,108-94-1,44,156,1.1,9.4,420,2.5,0.95,3.4,מסיס מעט,,נוזלים בעירים,Class IIIA,,נוזל בעיר,Class IIIA,,,1,2,0,,1915,3,III,"ממס, ניילון",454.2,454.2,,,,,3,Combustible Liquid II,ליטר
אצטופנון,Acetophenone,C₈H₈O,98-86-2,77,202,1.0,?,570,0.3,1.03,4.14,לא מסיס,,נוזלים בעירים,Class IIIA,,נוזל בעיר,Class IIIA,,,1,2,0,,2621,3,III,"ממס, בשמים",454.2,454.2,,,,,3,Combustible Liquid II,ליטר
מתיל אצטט,Methyl Acetate,C₃H₆O₂,79-20-9,-10,57,3.1,16,454,172,0.93,2.55,מסיס,,נוזלים דליקים,Class IB,,נוזל דליק,Class IB,,,1,3,0,,1231,3,II,ממס,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
איזופרופיל אצטט,Isopropyl Acetate,C₅H₁₀O₂,108-21-4,2,89,1.8,8.0,460,38,0.87,3.52,מסיס מעט,,נוזלים דליקים,Class IB,,נוזל דליק,Class IB,,,1,3,0,,1220,3,II,ממס,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
איזופרופיל אתר,Diisopropyl Ether,C₆H₁₄O,108-20-3,-28,69,1.4,21,443,119,0.72,3.52,לא מסיס,,נוזלים דליקים,Class IB,פרוקסידים אורגניים,נוזל דליק,Class IB,,,1,3,1,,1159,3,II,"ממס, פרוקסידים",454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
MTBE (מתיל tert-בוטיל אתר),Methyl tert-Butyl Ether,C₅H₁₂O,1634-04-4,-28,55,2.5,15.1,224,245,0.74,3.04,מסיס מעט,,נוזלים דליקים,Class IB,,נוזל דליק,Class IB,,,1,3,0,,2398,3,II,תוסף בנזין,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
"1,4-דיוקסאן","1,4-Dioxane",C₄H₈O₂,123-91-1,12,101,2.0,22,180,30,1.03,3.03,מסיס,,נוזלים דליקים,Class IB,מסרטן,נוזל דליק,Class IB,,,2,3,0,,1165,3,II,ממס,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
אניסול (מתוקסי בנזן),Anisole,C₇H₈O,100-66-3,52,154,1.1,?,475,2.5,0.99,3.73,לא מסיס,,נוזלים בעירים,Class IIIA,,נוזל בעיר,Class IIIA,,,1,2,0,,2222,3,III,"ממס, בשמים",454.2,454.2,,,,,3,Combustible Liquid II,ליטר
פורפורל,Furfural,C₅H₄O₂,98-01-1,60,162,2.1,19.3,316,2,1.16,3.31,מסיס מעט,,נוזלים בעירים,Class IIIA,,נוזל בעיר,Class IIIA,,,2,2,0,,1199,6.1,III,"ממס, שרפים",454.2,454.2,,,,,3,Combustible Liquid II,ליטר
חומצה פרופיונית,Propionic Acid,C₃H₆O₂,79-09-4,52,141,2.9,12.1,512,3,0.99,2.55,מסיס,2.9,נוזלים בעירים,Class IIIA,חומרים קורוזיביים,נוזל בעיר,Class IIIA,,,3,2,0,COR,1848,8,III,קורוזיבי,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
חומצה בוטירית,Butyric Acid,C₄H₈O₂,107-92-6,72,164,2.0,10.0,443,0.8,0.96,3.04,מסיס,4.8,נוזלים בעירים,Class IIIA,חומרים קורוזיביים,נוזל בעיר,Class IIIA,,,3,2,0,COR,2820,8,III,קורוזיבי,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
איזו-בוטילן,Isobutylene,C₄H₈,115-11-7,גז,-7,1.8,9.6,465,לא רלוונטי,0.59,1.94,לא מסיס,,גזים דליקים,,,לא רלוונטי,,,,1,4,1,,1055,2.1,,פולימרים,,,,,28.3,,2,Flammable Gas,"מ""ק"
פרופאדיאן,Propadiene,C₃H₄,463-49-0,גז,-34,2.5,?,?,לא רלוונטי,0.67,1.38,לא מסיס,,גזים דליקים,,,לא רלוונטי,,,,1,4,2,,2200,2.1,,ריתוך,,,,,28.3,,2,Flammable Gas,"מ""ק"
מתיל-אצטילן,Methylacetylene,C₃H₄,74-99-7,גז,-23,1.7,?,?,לא רלוונטי,0.71,1.38,לא מסיס,,גזים דליקים,,,לא רלוונטי,,,,1,4,2,,1060,2.1,,כימיקלים,,,,,28.3,,2,Flammable Gas,"מ""ק"
דימתיל אמין,Dimethylamine,C₂H₇N,124-40-3,גז,-18,2.8,14.4,400,לא רלוונטי,0.68,1.55,מסיס,10.7,גזים דליקים,,גזים קורוזיביים,לא רלוונטי,,4540,,3,4,0,COR,1032,2.1,,"ממס, תרופות",,,,,28.3,,2,Flammable Gas,"מ""ק"
פוסגן (קרבוניל כלוריד),Phosgene,COCl₂,75-44-5,גז,לא דליק,8,,,,1.43,3.4,לא מסיס,,גזים רעילים,,,לא רלוונטי,,3,,4,0,0,,1076,2.3,,פוליקרבונט,227,227,4.5,4.5,113.5,113.5,3,Toxic Material,"מ""ק"
תחמוצת גופרית,Sulfur Dioxide,SO₂,7446-09-5,גז,לא דליק,-10,,,,1.46,2.26,מסיס,,גזים רעילים,,גזים קורוזיביים,לא רלוונטי,,2520,,3,0,0,COR,1079,2.3,,חומצה גופרתית,227,227,4.5,4.5,113.5,113.5,3,Toxic Material,"מ""ק"
פרכלורט אשלגן,Potassium Perchlorate,KClO₄,7778-74-7,מוצק,400,,,,נמוך,2.52,,מסיס מעט,,חומרים מחמצנים,Class 1,,לא רלוונטי,,,,1,0,1,OX,1489,5.1,II,זיקוקים,,,,,,,,,
כלורט נתרן,Sodium Chlorate,NaClO₃,7775-09-9,מוצק,300,,,,נמוך,2.49,,מסיס,,חומרים מחמצנים,Class 2,,לא רלוונטי,,,,1,0,1,OX,1495,5.1,II,זיקוקים,,,,,,,,,
פרמנגנט אשלגן,Potassium Permanganate,KMnO₄,7722-64-7,מוצק,מתפרק,,,,נמוך,2.70,,מסיס,,חומרים מחמצנים,Class 2,,לא רלוונטי,,,,1,0,1,OX,1490,5.1,II,"חיטוי, כימיה",,,,,,,,,
כרומט אשלגן,Potassium Chromate,K₂CrO₄,7789-00-6,מוצק,מתפרק,,,,נמוך,2.73,,מסיס,,חומרים מחמצנים,Class 2,מסרטן,לא רלוונטי,,,,3,0,1,OX,3288,6.1,II,"חמצון, מסרטן",,,,,,,,,
סידן,Calcium,Ca,7440-70-2,מוצק,842,,,,לא רלוונטי,1.55,,מגיב אלים,,חומרים רגישים למים,Class 3,,לא רלוונטי,,,,3,1,2,W,1401,4.3,II,מגיב עם מים,45.4,45.4,4.5,4.5,22.7,22.7,2,Reacts explosively,"מ""ק"
מגנזיום (גושים),Magnesium,Mg,7439-95-4,מוצק,650,,,,לא רלוונטי,1.74,,לא מסיס,,מוצקים דליקים,,חומרים רגישים למים,לא רלוונטי,,,,1,1,1,W,1869,4.1,III,סגסוגות,56.8,,56.8,,11.4,,3,Flammable Solid,"מ""ק"
ניטרוגליצרין,Nitroglycerin,C₃H₅N₃O₉,55-63-0,נוזל,13,,,270,<1,1.59,,לא מסיס,,חומרי נפץ,Division 1.1D,,נוזל דליק,Class IB,,,2,3,4,,0143,1.1D,,חומר נפץ+רפואה,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
פיקרית חומצה,Picric Acid,C₆H₃N₃O₇,88-89-1,מוצק,300,,,,נמוך,1.76,,מסיס מעט,,חומרי נפץ,Division 1.1D,,לא רלוונטי,,,,3,4,4,,0154,1.1D,,חומר נפץ,,,,,,,,,
מתיל מתאקרילט,Methyl Methacrylate,C₅H₈O₂,80-62-6,10,101,2.1,12.5,422,29,0.94,3.45,לא מסיס,,נוזלים דליקים,Class IB,לא יציב Class 2,נוזל דליק,Class IB,,,2,3,2,,1247,3,II,פולימרים,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
חומצה אקרילית,Acrylic Acid,C₃H₄O₂,79-10-7,54,141,2.4,8.0,438,3,1.05,2.49,מסיס,2.5,נוזלים בעירים,Class IIIA,קורוזיבי+לא יציב,נוזל בעיר,Class IIIA,,,3,2,2,COR,2218,8,II,פולימרים,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
אתילן דיכלוריד (EDC),Ethylene Dichloride,C₂H₄Cl₂,107-06-2,13,83,6.2,16,413,61,1.25,3.42,לא מסיס,,נוזלים דליקים,Class IB,מסרטן,נוזל דליק,Class IB,,,2,3,0,,1184,3,II,"ממס, ויניל כלוריד",454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
כלורובנזן,Chlorobenzene,C₆H₅Cl,108-90-7,28,132,1.3,9.6,593,9,1.11,3.88,לא מסיס,,נוזלים דליקים,Class IC,,נוזל דליק,Class IC,,,2,3,0,,1134,3,II,ממס,454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
"1,1,1-טריכלורואתאן","1,1,1-Trichloroethane",C₂H₃Cl₃,71-55-6,לא דליק,74,,,,100,1.34,4.6,לא מסיס,,לא דליק,,,לא רלוונטי,,,,0,0,0,,2831,6.1,III,ממס מכלור,,,,,,,,,
פנול קריסטלי,Phenol,C₆H₆O,108-95-2,79,182,1.8,8.6,715,0.4,1.07,3.24,מסיס מעט,6,נוזלים בעירים,Class IIIA,רעיל+קורוזיבי,נוזל בעיר,Class IIIA,,316,3,2,0,COR,1671,6.1,II,שרפים,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
קרזול (מתיל פנול),Cresol,C₇H₈O,1319-77-3,81,191,1.1,?,559,0.1,1.03,3.73,מסיס מעט,,נוזלים בעירים,Class IIIA,רעיל+קורוזיבי,נוזל בעיר,Class IIIA,,,2,2,0,COR,2076,6.1,II,חיטוי,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
אנילין,Aniline,C₆H₇N,62-53-3,70,184,1.3,11,615,0.6,1.02,3.22,מסיס מעט,,נוזלים בעירים,Class IIIA,רעיל מאוד,נוזל בעיר,Class IIIA,,250,3,2,0,,1547,6.1,II,צבעים,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
ניטרובנזן,Nitrobenzene,C₆H₅NO₂,98-95-3,88,211,1.8,?,482,0.2,1.20,4.25,לא מסיס,,נוזלים בעירים,Class IIIA,רעיל,נוזל בעיר,Class IIIA,,,3,2,0,,1662,6.1,II,אנילין,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
ניטרומתאן,Nitromethane,CH₃NO₂,75-52-5,35,101,7.3,?,418,28,1.13,2.11,מסיס מעט,,נוזלים בעירים,Class IC,לא יציב Class 3,נוזל דליק,Class IC,,,2,3,3,,1261,3,II,"ממס, דלק מרוצים",454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
ניטרואתאן,Nitroethane,C₂H₅NO₂,79-24-3,28,114,3.4,?,414,15,1.05,2.58,מסיס מעט,,נוזלים דליקים,Class IC,לא יציב Class 2,נוזל דליק,Class IC,,,2,3,3,,2842,3,II,ממס,454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
דימתיל סולפיד,Dimethyl Sulfide,C₂H₆S,75-18-3,-37,37,2.2,19.7,206,400,0.85,2.14,לא מסיס,,נוזלים דליקים,Class IA,,נוזל דליק,Class IA,,,2,4,0,,1164,3,I,ממס,113.6,113.6,,,,,3,Flammable Liquid IA,ליטר
דיאתיל סולפיד,Diethyl Sulfide,C₄H₁₀S,352-93-2,-10,92,1.2,?,?,52,0.84,3.11,לא מסיס,,נוזלים דליקים,Class IB,,נוזל דליק,Class IB,,,2,3,0,,2375,3,II,ממס,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
אתיל מרקפטן,Ethyl Mercaptan,C₂H₆S,75-08-1,-48,35,2.8,18.2,299,442,0.84,2.14,לא מסיס,,גזים דליקים,,,נוזל דליק,Class IA,,,2,4,0,,2363,3,I,מריח גז,113.6,113.6,,,,,3,Flammable Liquid IA,ליטר
n-בוטיל מרקפטן,n-Butyl Mercaptan,C₄H₁₀S,109-79-5,2,98,1.4,?,225,35,0.84,3.11,לא מסיס,,נוזלים דליקים,Class IB,,נוזל דליק,Class IB,,,3,3,0,,1128,3,II,תוסף גז,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
טריכלוריד זרחן,Phosphorus Trichloride,PCl₃,7719-12-2,לא דליק,76,,,,82,1.57,4.75,מגיב אלים,,לא דליק,,רגיש למים+קורוזיבי,לא רלוונטי,,,,3,0,2,W COR,1809,8,I,כימיקלים,,,,,,,,,
